ac391000|	add.w $t0, $t1, $t2
acb91000|	add.d $t0, $t1, $t2
ac41c002|	addi.d $t0, $t1, 16
ac01e002|	addi.d $t0, $t1, -2048
acfdff02|	addi.d $t0, $t1, -1
ac05e002|	addi.d $t0, $t1, -2047
acf9ff02|	addi.d $t0, $t1, -2
acfdff02|	addi.d $t0, $t1, -1
ac418002|	addi.w $t0, $t1, 16
ac410010|	addu16i.d $t0, $t1, 16
a4fcff13|	addu16i.d $a0, $a1, -1
acb92c00|	alsl.d $t0, $t1, $t2, 0x2
acb90400|	alsl.w $t0, $t1, $t2, 0x2
acb90600|	alsl.wu $t0, $t1, $t2, 0x2
ccb56138|	amadd.d $t0, $t1, $t2
cc356138|	amadd.w $t0, $t1, $t2
ccb56a38|	amadd_db.d $t0, $t1, $t2
cc356a38|	amadd_db.w $t0, $t1, $t2
ccb56238|	amand.d $t0, $t1, $t2
cc356238|	amand.w $t0, $t1, $t2
ccb56b38|	amand_db.d $t0, $t1, $t2
cc356b38|	amand_db.w $t0, $t1, $t2
ccb56538|	ammax.d $t0, $t1, $t2
ccb56738|	ammax.du $t0, $t1, $t2
cc356538|	ammax.w $t0, $t1, $t2
cc356738|	ammax.wu $t0, $t1, $t2
ccb56e38|	ammax_db.d $t0, $t1, $t2
ccb57038|	ammax_db.du $t0, $t1, $t2
cc356e38|	ammax_db.w $t0, $t1, $t2
cc357038|	ammax_db.wu $t0, $t1, $t2
ccb56638|	ammin.d $t0, $t1, $t2
ccb56838|	ammin.du $t0, $t1, $t2
cc356638|	ammin.w $t0, $t1, $t2
cc356838|	ammin.wu $t0, $t1, $t2
ccb56f38|	ammin_db.d $t0, $t1, $t2
ccb57138|	ammin_db.du $t0, $t1, $t2
cc356f38|	ammin_db.w $t0, $t1, $t2
cc357138|	ammin_db.wu $t0, $t1, $t2
ccb56338|	amor.d $t0, $t1, $t2
cc356338|	amor.w $t0, $t1, $t2
ccb56c38|	amor_db.d $t0, $t1, $t2
cc356c38|	amor_db.w $t0, $t1, $t2
ccb56038|	amswap.d $t0, $t1, $t2
cc356038|	amswap.w $t0, $t1, $t2
ccb56938|	amswap_db.d $t0, $t1, $t2
cc356938|	amswap_db.w $t0, $t1, $t2
ccb56438|	amxor.d $t0, $t1, $t2
cc356438|	amxor.w $t0, $t1, $t2
ccb56d38|	amxor_db.d $t0, $t1, $t2
cc356d38|	amxor_db.w $t0, $t1, $t2
acb91400|	and $t0, $t1, $t2
ac414003|	andi $t0, $t1, 0x10
acb91600|	andn $t0, $t1, $t2
00004003|	nop
a0b90100|	asrtgt.d $t1, $t2
a0390100|	asrtle.d $t1, $t2
00100050|	b 16
20100048|	bceqz $fcc1, 16
20110048|	bcnez $fcc1, 16
1ff1ff4b|	bcnez $fcc0, -16
8d110058|	beq $t0, $t1, 16
a0110040|	beqz $t1, 16
9ff1ff43|	beqz $t0, -16
8d110064|	bge $t0, $t1, 16
8d11006c|	bgeu $t0, $t1, 16
ac490000|	bitrev.4b $t0, $t1
ac4d0000|	bitrev.8b $t0, $t1
ac550000|	bitrev.d $t0, $t1
ac510000|	bitrev.w $t0, $t1
00100054|	bl 16
8d110060|	blt $t0, $t1, 16
8d110068|	bltu $t0, $t1, 16
8d11005c|	bne $t0, $t1, 16
a0110044|	bnez $t1, 16
00002a00|	break 0x0
ac158a00|	bstrins.d $t0, $t1, 0xa, 0x5
ac156a00|	bstrins.w $t0, $t1, 0xa, 0x5
ac15ca00|	bstrpick.d $t0, $t1, 0xa, 0x5
