b3027300|	ADD X7, X6, X5
9302f3ff|	ADDI $-1, X6, X5
9302f37f|	ADDI $2047, X6, X5
93870900|	MOV X19, X15
93070100|	MOV X2, X15
9b02f37f|	ADDIW $2047, X6, X5
1b830a00|	MOVW X21, X6
1b810a00|	MOVW X21, X2
bb027300|	ADDW X7, X6, X5
afb26300|	AMOADDD X6, (X7), X5
afb26304|	AMOADDD X6, (X7), X5
afb26302|	AMOADDD X6, (X7), X5
afa26300|	AMOADDW X6, (X7), X5
afa26304|	AMOADDW X6, (X7), X5
afa26302|	AMOADDW X6, (X7), X5
afb26360|	AMOANDD X6, (X7), X5
afb26364|	AMOANDD X6, (X7), X5
afb26362|	AMOANDD X6, (X7), X5
afa26360|	AMOANDW X6, (X7), X5
afa26364|	AMOANDW X6, (X7), X5
afa26362|	AMOANDW X6, (X7), X5
afb263e0|	AMOMAXUD X6, (X7), X5
afb263e4|	AMOMAXUD X6, (X7), X5
afb263e2|	AMOMAXUD X6, (X7), X5
afa263e0|	AMOMAXUW X6, (X7), X5
afa263e4|	AMOMAXUW X6, (X7), X5
afa263e2|	AMOMAXUW X6, (X7), X5
afb263a0|	AMOMAXD X6, (X7), X5
afb263a4|	AMOMAXD X6, (X7), X5
afb263a2|	AMOMAXD X6, (X7), X5
afa263a0|	AMOMAXW X6, (X7), X5
afa263a4|	AMOMAXW X6, (X7), X5
afa263a2|	AMOMAXW X6, (X7), X5
afb263c0|	AMOMINUD X6, (X7), X5
afb263c4|	AMOMINUD X6, (X7), X5
afb263c2|	AMOMINUD X6, (X7), X5
afa263c0|	AMOMINUW X6, (X7), X5
afa263c4|	AMOMINUW X6, (X7), X5
afa263c2|	AMOMINUW X6, (X7), X5
afb26380|	AMOMIND X6, (X7), X5
afb26384|	AMOMIND X6, (X7), X5
afb26382|	AMOMIND X6, (X7), X5
afa26380|	AMOMINW X6, (X7), X5
afa26384|	AMOMINW X6, (X7), X5
afa26382|	AMOMINW X6, (X7), X5
afb26340|	AMOORD X6, (X7), X5
afb26344|	AMOORD X6, (X7), X5
afb26342|	AMOORD X6, (X7), X5
afa26340|	AMOORW X6, (X7), X5
afa26344|	AMOORW X6, (X7), X5
afa26342|	AMOORW X6, (X7), X5
afb26308|	AMOSWAPD X6, (X7), X5
afb2630c|	AMOSWAPD X6, (X7), X5
afb2630a|	AMOSWAPD X6, (X7), X5
afa26308|	AMOSWAPW X6, (X7), X5
afa2630c|	AMOSWAPW X6, (X7), X5
afa2630a|	AMOSWAPW X6, (X7), X5
afb26320|	AMOXORD X6, (X7), X5
afb26324|	AMOXORD X6, (X7), X5
afb26322|	AMOXORD X6, (X7), X5
afa26320|	AMOXORW X6, (X7), X5
afa26324|	AMOXORW X6, (X7), X5
afa26322|	AMOXORW X6, (X7), X5
b3727300|	AND X7, X6, X5
9372f3ff|	ANDI $-1, X6, X5
9372f37f|	ANDI $2047, X6, X5
9372f30f|	MOVBU X6, X5
97020000|	AUIPC $0, X5
97028000|	AUIPC $2048, X5
e38062f0|	BEQ X5, X6, -64(PC)
e3de62ee|	BGE X5, X6, -65(PC)
e3fc62ee|	BGEU X5, X6, -66(PC)
e3ca62ee|	BLT X5, X6, -67(PC)
e3e862ee|	BLTU X5, X6, -68(PC)
e39662ee|	BNE X5, X6, -69(PC)
e30403ee|	BEQZ X6, -70(PC)
e35203ee|	BGEZ X6, -71(PC)
e34003ee|	BLTZ X6, -72(PC)
e31e03ec|	BNEZ X6, -73(PC)
f33213c0|	CSRRC X6, TIME, X5
f3f21fc0|	CSRRCI $31, TIME, X5
f32213c0|	CSRRS X6, TIME, X5
f3e21fc0|	CSRRSI $31, TIME, X5
f31213c0|	CSRRW X6, TIME, X5
f3d21fc0|	CSRRWI $31, TIME, X5
733015c0|	CSRRC X10, TIME, X0
73f010c0|	CSRRCI $1, TIME, X0
73253000|	FRCSR X10
f3251000|	FRFLAGS X11
73262000|	FRRM X12
f32400c0|	RDCYCLE X9
732920c0|	RDINSTRET X18
f32910c0|	RDTIME X19
f3224014|	CSRRS X0, SIP, X5
73201bc0|	CSRRS X22, TIME, X0
736014c8|	CSRRSI $8, TIMEH, X0
73903700|	FSCSR X15, X0
73101800|	FSFLAGS X16, X0
73902800|	FSRM X17, X0
731014c0|	CSRRW X8, TIME, X0
735016c8|	CSRRWI $12, TIMEH, X0
b3427302|	DIV X7, X6, X5
b3527302|	DIVU X7, X6, X5
bb527302|	DIVUW X7, X6, X5
bb427302|	DIVW X7, X6, X5
73001000|	EBREAK
73000000|	ECALL
53f02002|	FADDD F2, F1, F0
53f02004|	FADDH F2, F1, F0
53f02006|	FADDQ F2, F1, F0
53f02000|	FADDS F2, F1, F0
d31200e2|	FCLASSD F0, X5
d31200e4|	FCLASSH F0, X5
d31200e6|	FCLASSQ F0, X5
d31200e0|	FCLASSS F0, X5
53f022d2|	FCVTDL X5, F0
53f032d2|	FCVTDLU X5, F0
53f03042|	FCVTDQ F1, F0
53800042|	FCVTDS F1, F0
538002d2|	FCVTDW X5, F0
538012d2|	FCVTDWU X5, F0
53f022d4|	FCVTHL X5, F0
53f032d4|	FCVTHLU X5, F0
53f00044|	FCVTHS F1, F0
53f002d4|	FCVTHW X5, F0
53f012d4|	FCVTHWU X5, F0
d37230c2|	FCVTLUD F0, X5
d37230c4|	FCVTLUH F0, X5
d37230c6|	FCVTLUQ F0, X5
d37230c0|	FCVTLUS F0, X5
d37220c2|	FCVTLD F0, X5
d37220c4|	FCVTLH F0, X5
d37220c6|	FCVTLQ F0, X5
d37220c0|	FCVTLS F0, X5
53801046|	FCVTQD F1, F0
538022d6|	FCVTQL X5, F0
538032d6|	FCVTQLU X5, F0
53800046|	FCVTQS F1, F0
538002d6|	FCVTQW X5, F0
538012d6|	FCVTQWU X5, F0
53f01040|	FCVTSD F1, F0
53802040|	FCVTSH F1, F0
53f022d0|	FCVTSL X5, F0
53f032d0|	FCVTSLU X5, F0
53f03040|	FCVTSQ F1, F0
53f002d0|	FCVTSW X5, F0
53f012d0|	FCVTSWU X5, F0
d37210c2|	FCVTWUD F0, X5
d37210c4|	FCVTWUH F0, X5
d37210c6|	FCVTWUQ F0, X5
d37210c0|	FCVTWUS F0, X5
d37200c2|	FCVTWD F0, X5
d37200c4|	FCVTWH F0, X5
d37200c6|	FCVTWQ F0, X5
d37200c0|	FCVTWS F0, X5
53f0201a|	FDIVD F2, F1, F0
53f0201c|	FDIVH F2, F1, F0
53f0201e|	FDIVQ F2, F1, F0
53f02018|	FDIVS F2, F1, F0
0f00f00f|	FENCE
0f100000|	FENCEI
d32210a2|	FEQD F1, F0, X5
d32210a4|	FEQH F1, F0, X5
d32210a6|	FEQQ F1, F0, X5
d32210a0|	FEQS F1, F0, X5
07b0f27f|	MOVD F0, 2047(X5)
d30210a2|	FLED F1, F0, X5
d30210a4|	FLEH F1, F0, X5
d30210a6|	FLEQ F1, F0, X5
d30210a0|	FLES F1, F0, X5
0790f27f|	FLH 2047(X5), F0
07c0f27f|	FLQ 2047(X5), F0
d31210a2|	FLTD F1, F0, X5
d31210a4|	FLTH F1, F0, X5
d31210a6|	FLTQ F1, F0, X5
d31210a0|	FLTS F1, F0, X5
07a0f27f|	MOVF F0, 2047(X5)
43f0201a|	FMADDD F1, F2, F3, F0
43f0201c|	FMADDH F1, F2, F3, F0
43f0201e|	FMADDQ F1, F2, F3, F0
43f02018|	FMADDS F1, F2, F3, F0
5390202a|	FMAXD F2, F1, F0
5390202c|	FMAXH F2, F1, F0
5390202e|	FMAXQ F2, F1, F0
53902028|	FMAXS F2, F1, F0
5380202a|	FMIND F2, F1, F0
5380202c|	FMINH F2, F1, F0
5380202e|	FMINQ F2, F1, F0
53802028|	FMINS F2, F1, F0
47f0201a|	FMSUBD F1, F2, F3, F0
47f0201c|	FMSUBH F1, F2, F3, F0
47f0201e|	FMSUBQ F1, F2, F3, F0
47f02018|	FMSUBS F1, F2, F3, F0
53f02012|	FMULD F2, F1, F0
53f02014|	FMULH F2, F1, F0
53f02016|	FMULQ F2, F1, F0
53f02010|	FMULS F2, F1, F0
538002f2|	FMVDX X5, F0
538002f4|	FMVHX X5, F0
d30200e2|	FMVXD F0, X5
d30200e4|	FMVXH F0, X5
d30200e0|	FMVXW F0, X5
4ff0201a|	FNMADDD F1, F2, F3, F0
4ff0201c|	FNMADDH F1, F2, F3, F0
4ff0201e|	FNMADDQ F1, F2, F3, F0
4ff02018|	FNMADDS F1, F2, F3, F0
4bf0201a|	FNMSUBD F1, F2, F3, F0
4bf0201c|	FNMSUBH F1, F2, F3, F0
4bf0201e|	FNMSUBQ F1, F2, F3, F0
4bf02018|	FNMSUBS F1, F2, F3, F0
a7bf027e|	MOVD 2047(X5), F0
53902022|	FSGNJND F2, F1, F0
53902024|	FSGNJNH F2, F1, F0
53902026|	FSGNJNQ F2, F1, F0
53902020|	FSGNJNS F2, F1, F0
53a02022|	FSGNJXD F2, F1, F0
53a02024|	FSGNJXH F2, F1, F0
53a02026|	FSGNJXQ F2, F1, F0
53a02020|	FSGNJXS F2, F1, F0
53802022|	FSGNJD F2, F1, F0
53802024|	FSGNJH F2, F1, F0
53802026|	FSGNJQ F2, F1, F0
53802020|	FSGNJS F2, F1, F0
a79f027e|	FSH 2047(X5), F0
a7cf027e|	FSQ 2047(X5), F0
53f0005a|	FSQRTD F1, F0
53f0005c|	FSQRTH F1, F0
53f0005e|	FSQRTQ F1, F0
53f00058|	FSQRTS F1, F0
53f0200a|	FSUBD F2, F1, F0
53f0200c|	FSUBH F2, F1, F0
53f0200e|	FSUBQ F2, F1, F0
53f02008|	FSUBS F2, F1, F0
a7af027e|	MOVF 2047(X5), F0
6ff0dfcb|	JMP -209(PC)
eff09fcb|	CALL -210(PC)
eff25fcb|	JAL X5, -211(PC)
67800202|	JMP 32(X5)
e7800202|	CALL 32(X5)
e7820202|	JALR X5, 32(X5)
67800000|	RET
8302f37f|	MOVB 2047(X6), X5
8342f37f|	MOVBU 2047(X6), X5
af320310|	LRD (X6), X5
af320314|	LRD (X6), X5
af320312|	LRD (X6), X5
af220310|	LRW (X6), X5
af220314|	LRW (X6), X5
af220312|	LRW (X6), X5
b7829102|	LUI $10520, X5
