# Copyright 2024 The Go Authors.  All rights reserved.
# Use of this source code is governed by a BSD-style
# license that can be found in the LICENSE file.
#
# This file is generated by the s390xspec program.
#
# Command to generate this file is:
# ./s390xspec <IBM Z-ISA Principles of Operation PDF file name> > s390x.csv
#
# For eg: ./s390xspec z_Architecture_Principles_of_Operation.pdf > s390x.csv
#
# Specific Edition of the PDF manual used (Publication No): SA22-7832-13
# Document link: https://www.ibm.com/docs/en/module_1678991624569/pdf/SA22-7832-13.pdf
#
# IBM Z-ISA Principles of Operation PDF instruction description.
#
# This file contains comment lines, each beginning with #,
# followed by entries in CSV format.
#
# Each line in the CSV section contains 4 fields:
#
#       instruction mnemonic encoding isa-level
#
# The instruction is list of instructions picked from the Appendix-B "Lists of Instructions" heading.
# The mnemonic is the instruction mnemonics, separated by | characters.
# The encoding is the encoding, a sequence of name@startbit| describing each bit field in turn or
#    a list of sequences of the form (,sequence)+. A leading comma is used to signify an
#    instruction encoding requiring multiple instruction words.
# The fourth field represents instruction characteristics string
#


"ADD (32)","A R1,D2(X2,B2)","90@0|R1@8|X2@12|B2@16|D2@20|??@32","B"
"ADD (32)","AR R1,R2","26@0|R1@8|R2@12|??@16","1A"
"ADD (32)","ARK R1,R2,R3","47608@0|R3@16|//@20|R1@24|R2@28|??@32","B9F8"
"ADD (32)","AY R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|90@40|??@48","B"
"ADD (64)","AG R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|8@40|??@48","B"
"ADD (64)","AGR R1,R2","47368@0|//@16|R1@24|R2@28|??@32","B908"
"ADD (64)","AGRK R1,R2,R3","47592@0|R3@16|//@20|R1@24|R2@28|??@32","B9E8"
"ADD (64←32)","AGF R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|24@40|??@48","B"
"ADD (64←32)","AGFR R1,R2","47384@0|//@16|R1@24|R2@28|??@32","B918"
"ADD (extended BFP)","AXBR R1,R2","45898@0|//@16|R1@24|R2@28|??@32","SP Db"
"ADD (extended DFP)","AXTR R1,R2,R3","46042@0|R3@16|//@20|R1@24|R2@28|??@32","SP Dt"
"ADD (extended DFP)","AXTRA R1,R2,R3,M4","46042@0|R3@16|M4@20|R1@24|R2@28|??@32","SP Dt"
"ADD (long BFP)","ADB R1,D2(X2,B2)","237@0|R1@8|X2@12|B2@16|D2@20|//@32|26@40|??@48","Db"
"ADD (long BFP)","ADBR R1,R2","45850@0|//@16|R1@24|R2@28|??@32","Db"
"ADD (long DFP)","ADTR R1,R2,R3","46034@0|R3@16|//@20|R1@24|R2@28|??@32","Dt"
"ADD (long DFP)","ADTRA R1,R2,R3,M4","46034@0|R3@16|M4@20|R1@24|R2@28|??@32","Dt"
"ADD (short BFP)","AEB R1,D2(X2,B2)","237@0|R1@8|X2@12|B2@16|D2@20|//@32|10@40|??@48","Db"
"ADD (short BFP)","AEBR R1,R2","45834@0|//@16|R1@24|R2@28|??@32","Db"
"ADD DECIMAL","AP D1(L1,B1),D2(L2,B2)","250@0|L1@8|L2@12|B1@16|D1@20|B2@32|D2@36|??@48","Dg"
"ADD HALFWORD (32←16)","AH R1,D2(X2,B2)","74@0|R1@8|X2@12|B2@16|D2@20|??@32","B"
"ADD HALFWORD (32←16)","AHY R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|122@40|??@48","B"
"ADD HALFWORD (64→16)","AGH R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|56@40|??@48","B"
"ADD HALFWORD IMMEDIATE (32←16)","AHI R1,I2","167@0|R1@8|10@12|I2@16|??@32","A7A"
"ADD HALFWORD IMMEDIATE (64←16)","AGHI R1,I2","167@0|R1@8|11@12|I2@16|??@32","A7B"
"ADD HIGH (32)","AHHHR R1,R2,R3","47560@0|R3@16|//@20|R1@24|R2@28|??@32","B9C8"
"ADD HIGH (32)","AHHLR R1,R2,R3","47576@0|R3@16|//@20|R1@24|R2@28|??@32","B9D8"
"ADD IMMEDIATE (32)","AFI R1,I2","194@0|R1@8|9@12|I2@16|??@48","C29"
"ADD IMMEDIATE (32←16)","AHIK R1,R3,I2","236@0|R1@8|R3@12|I2@16|//@32|216@40|??@48","ECD8"
"ADD IMMEDIATE (32←8)","ASI D1(B1),I2","235@0|I2@8|B1@16|D1@20|106@40|??@48","ST"
"ADD IMMEDIATE (64←16)","AGHIK R1,R3,I2","236@0|R1@8|R3@12|I2@16|//@32|217@40|??@48","ECD9"
"ADD IMMEDIATE (64←32)","AGFI R1,I2","194@0|R1@8|8@12|I2@16|??@48","C28"
"ADD IMMEDIATE (64←8)","AGSI D1(B1),I2","235@0|I2@8|B1@16|D1@20|122@40|??@48","ST"
"ADD IMMEDIATE HIGH (32)","AIH R1,I2","204@0|R1@8|8@12|I2@16|??@48","CC8"
"ADD LOGICAL (32)","AL R1,D2(X2,B2)","94@0|R1@8|X2@12|B2@16|D2@20|??@32","B"
"ADD LOGICAL (32)","ALR R1,R2","30@0|R1@8|R2@12|??@16","1E"
"ADD LOGICAL (32)","ALRK R1,R2,R3","47610@0|R3@16|//@20|R1@24|R2@28|??@32","B9FA"
"ADD LOGICAL (32)","ALY R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|94@40|??@48","B"
"ADD LOGICAL (64)","ALG R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|10@40|??@48","B"
"ADD LOGICAL (64)","ALGR R1,R2","47370@0|//@16|R1@24|R2@28|??@32","B90A"
"ADD LOGICAL (64)","ALGRK R1,R2,R3","47594@0|R3@16|//@20|R1@24|R2@28|??@32","B9EA"
"ADD LOGICAL (64←32)","ALGF R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|26@40|??@48","B"
"ADD LOGICAL (64←32)","ALGFR R1,R2","47386@0|//@16|R1@24|R2@28|??@32","B91A"
"ADD LOGICAL HIGH (32)","ALHHHR R1,R2,R3","47562@0|R3@16|//@20|R1@24|R2@28|??@32","B9CA"
"ADD LOGICAL HIGH (32)","ALHHLR R1,R2,R3","47578@0|R3@16|//@20|R1@24|R2@28|??@32","B9DA"
"ADD LOGICAL IMMEDIATE (32)","ALFI R1,I2","194@0|R1@8|11@12|I2@16|??@48","C2B"
"ADD LOGICAL IMMEDIATE (64←32)","ALGFI R1,I2","194@0|R1@8|10@12|I2@16|??@48","C2A"
"ADD LOGICAL WITH CARRY (32)","ALC R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|152@40|??@48","B"
"ADD LOGICAL WITH CARRY (32)","ALCR R1,R2","47512@0|//@16|R1@24|R2@28|??@32","B998"
"ADD LOGICAL WITH CARRY (64)","ALCG R1,D2(X2,B2)","227@0|R1@8|X2@12|B2@16|D2@20|136@40|??@48","B"
"ADD LOGICAL WITH CARRY (64)","ALCGR R1,R2","47496@0|//@16|R1@24|R2@28|??@32","B988"
"ADD LOGICAL WITH SIGNED IMMEDIATE(32→16)","ALHSIK R1,R3,I2","236@0|R1@8|R3@12|I2@16|//@32|218@40|??@48","ECDA 7-31"
"ADD LOGICAL WITH SIGNED IMMEDIATE (32←8)","ALSI D1(B1),I2","235@0|I2@8|B1@16|D1@20|110@40|??@48","ST"
"ADD LOGICAL WITH SIGNED IMMEDIATE(64→16)","ALGHSIK R1,R3,I2","236@0|R1@8|R3@12|I2@16|//@32|219@40|??@48","ECDB 7-31"
"ADD LOGICAL WITH SIGNED IMMEDIATE (64→8)","ALGSI D1(B1),I2","235@0|I2@8|B1@16|D1@20|126@40|??@48","ST"
"ADD LOGICAL WITH SIGNED IMMEDIATE HIGH(32)","ALSIH R1,I2","204@0|R1@8|10@12|I2@16|??@48","CCA"
"ADD LOGICAL WITH SIGNED IMMEDIATE HIGH(32)","ALSIHN R1,I2","204@0|R1@8|11@12|I2@16|??@48","CCB"
"ADD NORMALIZED (extended HFP)","AXR R1,R2","54@0|R1@8|R2@12|??@16","SP Da"
"ADD NORMALIZED (long HFP)","AD R1,D2(X2,B2)","106@0|R1@8|X2@12|B2@16|D2@20|??@32","Da"
"ADD NORMALIZED (long HFP)","ADR R1,R2","42@0|R1@8|R2@12|??@16","Da"
"ADD NORMALIZED (short HFP)","AE R1,D2(X2,B2)","122@0|R1@8|X2@12|B2@16|D2@20|??@32","Da"
"ADD NORMALIZED (short HFP)","AER R1,R2","58@0|R1@8|R2@12|??@16","Da"
"ADD UNNORMALIZED (long HFP)","AW R1,D2(X2,B2)","110@0|R1@8|X2@12|B2@16|D2@20|??@32","Da"
"ADD UNNORMALIZED (long HFP)","AWR R1,R2","46@0|R1@8|R2@12|??@16","Da"
"ADD UNNORMALIZED (short HFP)","AU R1,D2(X2,B2)","126@0|R1@8|X2@12|B2@16|D2@20|??@32","Da"
